"","firm","longitude","latitude","collected"
"575","starbucks",-110.943289,32.22117,2008
"576","starbucks",-110.943559,32.287254,2008
"577","starbucks",-110.944412,32.221752,2008
"578","starbucks",-110.945071,32.272245,2008
"579","starbucks",-110.95376,32.23248,2008
"580","starbucks",-110.95633,32.401952,2008
"581","starbucks",-110.957475,32.400851,2008
"582","starbucks",-110.958931,32.23167,2008
"583","starbucks",-110.960121,32.426155,2008
"584","starbucks",-110.965757,32.287359,2008
"585","starbucks",-110.973433,32.297174,2008
"586","starbucks",-110.975632,32.336092,2008
"587","starbucks",-110.977295,32.315822,2008
"588","starbucks",-110.97805,32.279948,2008
"589","starbucks",-110.97816,32.33692,2008
"590","starbucks",-110.98582,31.960513,2008
"591","starbucks",-110.991003,32.162937,2008
"592","starbucks",-110.992882,31.900258,2008
"593","starbucks",-110.995786,32.297939,2008
"594","starbucks",-110.996875,31.851718,2008
"595","starbucks",-111.004556,32.238131,2008
"596","starbucks",-111.010416,32.306481,2008
"597","starbucks",-111.010549,32.133921,2008
"598","starbucks",-111.012847,32.251986,2008
"599","starbucks",-111.013338,32.343441,2008
"600","starbucks",-111.045112,32.425545,2008
"601","starbucks",-111.048473,32.336646,2008
"602","starbucks",-111.04962,32.215732,2008
"603","starbucks",-111.04997,32.337113,2008
"604","starbucks",-111.069094,32.337552,2008
"605","starbucks",-111.091925,32.355074,2008
"606","starbucks",-111.138022,32.371618,2008
"607","starbucks",-111.290834,47.493794,2008
"608","starbucks",-111.31757,34.24052,2008
"609","starbucks",-111.373379,56.724475,2008
"610","starbucks",-111.426123,56.730094,2008
"611","starbucks",-111.45908,36.916456,2008
"612","starbucks",-111.484293,33.062253,2008
"613","starbucks",-111.506667,40.657793,2008
"614","starbucks",-111.507292,40.659448,2008
"615","starbucks",-111.522295,32.993972,2008
"616","starbucks",-111.540999,40.722547,2008
"617","starbucks",-111.560613,33.159762,2008
"618","starbucks",-111.56568,33.218638,2008
"619","starbucks",-111.570746,40.750284,2008
"620","starbucks",-111.574161,33.415885,2008
"621","starbucks",-111.579652,35.228052,2008
"622","starbucks",-111.579753,33.41504,2008
"623","starbucks",-111.585002,33.179245,2008
"624","starbucks",-111.600779,33.380619,2008
"625","starbucks",-111.619399,33.377396,2008
"626","starbucks",-111.622902,35.218415,2008
"627","starbucks",-111.632564,35.194228,2008
"628","starbucks",-111.635554,33.377398,2008
"629","starbucks",-111.638657,33.376754,2008
"630","starbucks",-111.641502,33.254022,2008
"631","starbucks",-111.655898,35.189464,2008
